timestamp num_ops machine arquivo
1318613152181007 655 abelhinha 2011_10_14
1318613752181007 4242 abelhinha 2011_10_14
1318615552181007 1644 abelhinha 2011_10_14
1318616152181007 1362 abelhinha 2011_10_14
1318617352181007 97 abelhinha 2011_10_14
1318617952181007 799 abelhinha 2011_10_14
1318618552181007 1157 abelhinha 2011_10_14
1318619152181007 2148 abelhinha 2011_10_14
1318619752181007 2119 abelhinha 2011_10_14
1318620352181007 1160 abelhinha 2011_10_14
1318621552181007 684 abelhinha 2011_10_14
1318622152181007 2224 abelhinha 2011_10_14
1318622752181007 3352 abelhinha 2011_10_14
1318623352181007 952 abelhinha 2011_10_14
1318623952181007 2422 abelhinha 2011_10_14
1318624552181007 325 abelhinha 2011_10_14
1318625152181007 2650 abelhinha 2011_10_14
1318630552181007 1211 abelhinha 2011_10_14
1318631152181007 782 abelhinha 2011_10_14
1318631752181007 1158 abelhinha 2011_10_14
1318632352181007 1977 abelhinha 2011_10_14
1318632952181007 776 abelhinha 2011_10_14
1318643152181007 1598 abelhinha 2011_10_14
1318643752181007 814 abelhinha 2011_10_14
1318644352181007 772 abelhinha 2011_10_14
1318646152181007 784 abelhinha 2011_10_14
1318646752181007 1978 abelhinha 2011_10_14
1318647352181007 845 abelhinha 2011_10_14
1318613752181007 8 bandeira 2011_10_14
1318623952181007 101 bandeira 2011_10_14
1318624552181007 8 bandeira 2011_10_14
1318620352181007 11215 celacanto 2011_10_14
1318620952181007 74253 celacanto 2011_10_14
1318621552181007 71556 celacanto 2011_10_14
1318622152181007 56039 celacanto 2011_10_14
1318622752181007 58070 celacanto 2011_10_14
1318623352181007 81360 celacanto 2011_10_14
1318623952181007 77649 celacanto 2011_10_14
1318624552181007 78478 celacanto 2011_10_14
1318625152181007 79910 celacanto 2011_10_14
1318625752181007 39370 celacanto 2011_10_14
1318628752181007 58 celacanto 2011_10_14
1318613752181007 744 charroco 2011_10_14
1318614352181007 3532 charroco 2011_10_14
1318614952181007 2074 charroco 2011_10_14
1318615552181007 2032 charroco 2011_10_14
1318616152181007 3726 charroco 2011_10_14
1318616752181007 2113 charroco 2011_10_14
1318617352181007 2175 charroco 2011_10_14
1318617952181007 4022 charroco 2011_10_14
1318618552181007 2153 charroco 2011_10_14
1318619152181007 2100 charroco 2011_10_14
1318619752181007 4311 charroco 2011_10_14
1318620352181007 2313 charroco 2011_10_14
1318620952181007 1970 charroco 2011_10_14
1318621552181007 3615 charroco 2011_10_14
1318622152181007 2085 charroco 2011_10_14
1318622752181007 1840 charroco 2011_10_14
1318623352181007 3831 charroco 2011_10_14
