offset	count	policy	machine
1319217042997604	2	conservative	abelhinha
1319217082997604	2	conservative	abelhinha
1319217116997604	2	conservative	abelhinha
1319217167997604	101	conservative	abelhinha
1319217168997604	308	conservative	abelhinha
1319217169997604	408	conservative	abelhinha
1319217170997604	442	conservative	abelhinha
1319217171997604	358	conservative	abelhinha
1319217172997604	366	conservative	abelhinha
1319217173997604	404	conservative	abelhinha
1319217174997604	102	conservative	abelhinha
1319217175997604	484	conservative	abelhinha
1319217176997604	662	conservative	abelhinha
1319217177997604	906	conservative	abelhinha
1319217178997604	544	conservative	abelhinha
1319217179997604	2684	conservative	abelhinha
1319217180997604	5480	conservative	abelhinha
1319217181997604	17164	conservative	abelhinha
1319217182997604	9231	conservative	abelhinha
1319217183997604	8869	conservative	abelhinha
1319217184997604	5191	conservative	abelhinha
1319217185997604	5361	conservative	abelhinha
1319217186997604	6068	conservative	abelhinha
1319217187997604	8828	conservative	abelhinha
1319217188997604	6148	conservative	abelhinha
1319217189997604	6460	conservative	abelhinha
1319217190997604	7528	conservative	abelhinha
1319217191997604	2150	conservative	abelhinha
1319217192997604	4562	conservative	abelhinha
1319217193997604	9258	conservative	abelhinha
1319217194997604	3726	conservative	abelhinha
1319217195997604	11119	conservative	abelhinha
1319217196997604	2710	conservative	abelhinha
1319217197997604	2758	conservative	abelhinha
1319217198997604	10008	conservative	abelhinha
1319217199997604	2320	conservative	abelhinha
1319217200997604	3024	conservative	abelhinha
1319217201997604	2268	conservative	abelhinha
1319217202997604	2120	conservative	abelhinha
1319217203997604	1648	conservative	abelhinha
1319217204997604	32	conservative	abelhinha
1319217205997604	62	conservative	abelhinha
1319217206997604	1149	conservative	abelhinha
1319217208997604	2196	conservative	abelhinha
1319217209997604	3220	conservative	abelhinha
1319217210997604	3154	conservative	abelhinha
1319217211997604	2750	conservative	abelhinha
1319217212997604	2962	conservative	abelhinha
1319217213997604	1170	conservative	abelhinha
1319217214997604	4870	conservative	abelhinha
1319217215997604	1538	conservative	abelhinha
1319217216997604	68	conservative	abelhinha
1319217217997604	94	conservative	abelhinha
1319217218997604	6	conservative	abelhinha
1319217219997604	120	conservative	abelhinha
1319217220997604	48	conservative	abelhinha
1319217221997604	770	conservative	abelhinha
1319217222997604	40	conservative	abelhinha
1319217223997604	28	conservative	abelhinha
1319217224997604	188	conservative	abelhinha
1319217225997604	1152	conservative	abelhinha
1319217237997604	29	conservative	abelhinha
1319217255997604	5	conservative	abelhinha
1319217257997604	6	conservative	abelhinha
1319217266997604	2	conservative	abelhinha
1319217326997604	8	conservative	abelhinha
1319217341997604	2	conservative	abelhinha
1319217416997604	2	conservative	abelhinha
1319217446997604	32	conservative	abelhinha
1319217491997604	2	conservative	abelhinha
1319217557997604	6	conservative	abelhinha
1319217566997604	10	conservative	abelhinha
